Date	Alarm Type	Meter Number	Feeder Code	Feeder Name	Substation	Subdivision	Alarm Time	Log Time in the Server
04-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	04-06-2024 13:40	04-06-2024 13:42
04-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	04-06-2024 14:00	04-06-2024 14:02
04-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	04-06-2024 20:25	04-06-2024 20:27
04-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	04-06-2024 20:45	04-06-2024 20:47
05-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	05-06-2024 09:10	05-06-2024 09:12
05-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	05-06-2024 09:30	05-06-2024 09:32
05-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	05-06-2024 13:30	05-06-2024 13:32
05-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	05-06-2024 13:50	05-06-2024 13:52
05-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	05-06-2024 16:55	05-06-2024 16:57
05-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	05-06-2024 17:15	05-06-2024 17:17
06-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	06-06-2024 06:10	06-06-2024 06:12
06-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	06-06-2024 06:30	06-06-2024 06:32
06-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	06-06-2024 11:00	06-06-2024 11:02
06-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	06-06-2024 11:20	06-06-2024 11:22
06-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	06-06-2024 15:45	06-06-2024 15:47
06-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	06-06-2024 16:05	06-06-2024 16:07
06-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	06-06-2024 20:30	06-06-2024 20:32
06-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	06-06-2024 20:50	06-06-2024 20:52
07-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	07-06-2024 07:20	07-06-2024 07:22
07-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	07-06-2024 07:40	07-06-2024 07:42
07-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	07-06-2024 12:55	07-06-2024 12:57
07-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	07-06-2024 13:15	07-06-2024 13:17
07-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	07-06-2024 17:40	07-06-2024 17:42
07-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	07-06-2024 18:00	07-06-2024 18:02
07-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	07-06-2024 21:25	07-06-2024 21:27
07-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	07-06-2024 21:45	07-06-2024 21:47
08-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	08-06-2024 08:10	08-06-2024 08:12
08-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	08-06-2024 08:30	08-06-2024 08:32
08-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	08-06-2024 13:50	08-06-2024 13:52
08-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	08-06-2024 14:10	08-06-2024 14:12
08-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	08-06-2024 19:30	08-06-2024 19:32
08-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	08-06-2024 19:50	08-06-2024 19:52

09-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	09-06-2024 06:45	09-06-2024 06:47
09-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	09-06-2024 10:15	09-06-2024 10:17
09-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	09-06-2024 10:35	09-06-2024 10:37
09-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	09-06-2024 14:00	09-06-2024 14:02
09-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	09-06-2024 14:20	09-06-2024 14:22
09-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	09-06-2024 18:10	09-06-2024 18:12
09-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	09-06-2024 18:30	09-06-2024 18:32
10-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	10-06-2024 06:55	10-06-2024 06:57
10-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	10-06-2024 07:15	10-06-2024 07:17
10-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	10-06-2024 11:30	10-06-2024 11:32
10-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	10-06-2024 11:50	10-06-2024 11:52
10-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	10-06-2024 16:20	10-06-2024 16:22
10-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	10-06-2024 16:40	10-06-2024 16:42
10-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	10-06-2024 20:55	10-06-2024 20:57
10-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	10-06-2024 21:15	10-06-2024 21:17
11-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	11-06-2024 07:30	11-06-2024 07:32
11-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	11-06-2024 07:50	11-06-2024 07:52
11-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	11-06-2024 12:10	11-06-2024 12:12
11-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	11-06-2024 12:30	11-06-2024 12:32
11-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	11-06-2024 16:45	11-06-2024 16:47
11-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	11-06-2024 17:05	11-06-2024 17:07
11-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	11-06-2024 21:20	11-06-2024 21:22
11-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	11-06-2024 21:40	11-06-2024 21:42
12-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	12-06-2024 06:20	12-06-2024 06:22
12-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	12-06-2024 06:40	12-06-2024 06:42
12-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	12-06-2024 10:00	12-06-2024 10:02
12-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	12-06-2024 10:20	12-06-2024 10:22
12-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	12-06-2024 13:45	12-06-2024 13:47
12-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	12-06-2024 14:05	12-06-2024 14:07
12-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	12-06-2024 18:30	12-06-2024 18:32
12-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	12-06-2024 18:50	12-06-2024 18:52
12-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	12-06-2024 22:15	12-06-2024 22:17
12-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	12-06-2024 22:35	12-06-2024 22:37
13-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	13-06-2024 06:50	13-06-2024 06:52
13-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	13-06-2024 07:10	13-06-2024 07:12
13-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	13-06-2024 11:25	13-06-2024 11:27
13-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	13-06-2024 11:45	13-06-2024 11:47
13-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	13-06-2024 15:55	13-06-2024 15:57
13-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	13-06-2024 16:15	13-06-2024 16:17
13-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	13-06-2024 20:40	13-06-2024 20:42
13-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	13-06-2024 21:00	13-06-2024 21:02
14-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	14-06-2024 06:15	14-06-2024 06:17
14-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	14-06-2024 06:35	14-06-2024 06:37
14-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	14-06-2024 10:50	14-06-2024 10:52
14-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	14-06-2024 11:10	14-06-2024 11:12
14-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	14-06-2024 14:30	14-06-2024 14:32
14-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	14-06-2024 14:50	14-06-2024 14:52
14-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	14-06-2024 19:05	14-06-2024 19:07
14-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	14-06-2024 19:25	14-06-2024 19:27

14-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	14-06-2024 22:40	14-06-2024 22:42
14-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	14-06-2024 23:00	14-06-2024 23:02
15-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	15-06-2024 07:15	15-06-2024 07:17
15-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	15-06-2024 07:35	15-06-2024 07:37
15-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	15-06-2024 11:50	15-06-2024 11:52
15-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	15-06-2024 12:10	15-06-2024 12:12
15-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	15-06-2024 15:30	15-06-2024 15:32
15-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	15-06-2024 15:50	15-06-2024 15:52
15-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	15-06-2024 20:05	15-06-2024 20:07
15-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	15-06-2024 20:25	15-06-2024 20:27
15-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	15-06-2024 23:45	15-06-2024 23:47
15-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	16-06-2024 00:05	16-06-2024 00:07
16-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	16-06-2024 06:30	16-06-2024 06:32
16-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	16-06-2024 06:50	16-06-2024 06:52
16-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	16-06-2024 10:45	16-06-2024 10:47
16-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	16-06-2024 11:05	16-06-2024 11:07
16-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	16-06-2024 15:20	16-06-2024 15:22
16-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	16-06-2024 15:40	16-06-2024 15:42
16-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	16-06-2024 19:55	16-06-2024 19:57
16-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	16-06-2024 20:15	16-06-2024 20:17
16-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	16-06-2024 23:30	16-06-2024 23:32
16-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	17-06-2024 00:00	17-06-2024 00:02
17-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	17-06-2024 06:10	17-06-2024 06:12
17-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	17-06-2024 06:30	17-06-2024 06:32
17-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	17-06-2024 10:40	17-06-2024 10:42
17-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	17-06-2024 11:00	17-06-2024 11:0

17-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	17-06-2024 14:15	17-06-2024 14:17
17-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	17-06-2024 14:35	17-06-2024 14:37
17-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	17-06-2024 18:50	17-06-2024 18:52
17-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	17-06-2024 19:10	17-06-2024 19:12
17-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	17-06-2024 23:25	17-06-2024 23:27
17-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	18-06-2024 00:05	18-06-2024 00:07
18-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	18-06-2024 06:20	18-06-2024 06:22
18-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	18-06-2024 06:40	18-06-2024 06:42
18-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	18-06-2024 10:55	18-06-2024 10:57
18-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	18-06-2024 11:15	18-06-2024 11:17
18-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	18-06-2024 15:30	18-06-2024 15:32
18-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	18-06-2024 15:50	18-06-2024 15:52
18-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	18-06-2024 20:05	18-06-2024 20:07
18-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	18-06-2024 20:25	18-06-2024 20:27
18-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	18-06-2024 23:45	18-06-2024 23:47
18-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	19-06-2024 00:05	19-06-2024 00:07
19-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	19-06-2024 06:10	19-06-2024 06:12
19-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	19-06-2024 06:30	19-06-2024 06:32
19-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	19-06-2024 10:40	19-06-2024 10:42
19-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	19-06-2024 11:00	19-06-2024 11:02
19-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	19-06-2024 15:15	19-06-2024 15:17
19-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	19-06-2024 15:35	19-06-2024 15:37
19-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	19-06-2024 19:50	19-06-2024 19:52
19-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	19-06-2024 20:10	19-06-2024 20:12
19-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	19-06-2024 23:30	19-06-2024 23:32
19-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	20-06-2024 00:00	20-06-2024 00:02
20-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	20-06-2024 06:20	20-06-2024 06:22
20-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	20-06-2024 06:40	20-06-2024 06:42
20-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	20-06-2024 10:55	20-06-2024 10:57
20-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	20-06-2024 11:15	20-06-2024 11:17
20-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	20-06-2024 15:30	20-06-2024 15:32
20-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	20-06-2024 15:50	20-06-2024 15:52
20-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	20-06-2024 20:05	20-06-2024 20:07
20-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	20-06-2024 20:25	20-06-2024 20:27
20-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	20-06-2024 23:45	20-06-2024 23:47
20-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	21-06-2024 00:05	21-06-2024 00:07
21-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	21-06-2024 06:10	21-06-2024 06:12
21-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	21-06-2024 06:30	21-06-2024 06:32
21-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	21-06-2024 10:40	21-06-2024 10:42
21-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	21-06-2024 11:00	21-06-2024 11:02
21-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	21-06-2024 15:15	21-06-2024 15:17
21-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	21-06-2024 15:35	21-06-2024 15:37
21-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	21-06-2024 19:50	21-06-2024 19:52
21-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	21-06-2024 20:10	21-06-2024 20:12
21-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	21-06-2024 23:30	21-06-2024 23:32
21-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	22-06-2024 00:00	22-06-2024 00:02
